fixation id,start timestamp [ns],duration [ms],fixation x [px],fixation y [px]
0,1754818086390179072,1633.333248,640.0,360.0
1,1754818088323512320,966.666752,990.0,198.0
2,1754818089506845696,1733.333504,308.0,581.0
3,1754818091490179072,916.666624,212.0,186.0
4,1754818092656845824,1149.999872,225.0,664.0
5,1754818093940178944,1300.000256,343.0,125.0
6,1754818095390179072,1000.0,904.0,83.0
7,1754818096556845824,1166.666496,542.0,274.0
8,1754818097806845696,1833.333504,482.0,72.0
9,1754818099873512448,1816.666624,448.0,567.0
10,1754818101923512320,1016.666624,694.0,189.0
11,1754818103023512320,700.0,533.0,472.0
12,1754818103940178944,1166.666752,582.0,76.0
13,1754818105340178944,1433.333504,935.0,266.0
14,1754818107056845824,1100.0,1066.0,112.0
15,1754818108373512448,1066.666752,1167.0,598.0
16,1754818109956845824,716.666624,659.0,57.0
17,1754818110940178944,1216.66688,507.0,609.0
18,1754818112240179200,1033.333248,867.0,489.0
19,1754818113373512448,1366.666496,982.0,125.0
20,1754818114923512320,950.000128,912.0,310.0
21,1754818115956845824,1033.333248,1122.0,270.0
22,1754818117206845696,1666.666752,619.0,107.0
23,1754818119023512320,616.66688,1148.0,493.0
24,1754818119756845824,1833.333248,1134.0,464.0
25,1754818121756845824,883.333376,164.0,533.0
26,1754818122840179200,1299.999744,704.0,186.0
27,1754818124240179200,1766.666496,645.0,400.0
28,1754818126090179072,1716.666624,107.0,667.0
29,1754818127906845696,1850.000128,88.0,288.0
30,1754818129890179072,1066.666752,630.0,422.0
