timestamp [ns],gaze x [px],gaze y [px]
1754818086390179072,638.0,359.0
1754818086406845696,640.0,359.0
1754818086423512320,642.0,358.0
1754818086440179200,641.0,361.0
1754818086456845824,637.0,362.0
1754818086473512448,641.0,360.0
1754818086490179072,642.0,358.0
1754818086506845696,639.0,360.0
1754818086523512320,641.0,362.0
1754818086540178944,638.0,360.0
1754818086556845824,642.0,357.0
1754818086573512448,642.0,359.0
1754818086590179072,640.0,358.0
1754818086606845696,637.0,357.0
1754818086623512320,639.0,361.0
1754818086640179200,638.0,358.0
1754818086656845824,639.0,360.0
1754818086673512448,639.0,359.0
1754818086690179072,638.0,361.0
1754818086706845696,642.0,357.0
1754818086723512320,642.0,357.0
1754818086740178944,642.0,360.0
1754818086756845824,640.0,361.0
1754818086773512448,642.0,358.0
1754818086790179072,637.0,358.0
1754818086806845696,639.0,362.0
1754818086823512320,638.0,357.0
1754818086840179200,637.0,358.0
1754818086856845824,641.0,360.0
1754818086873512448,640.0,361.0
1754818086890179072,641.0,360.0
1754818086906845696,638.0,360.0
1754818086923512320,639.0,357.0
1754818086940178944,641.0,360.0
1754818086956845824,639.0,358.0
1754818086973512448,642.0,359.0
1754818086990179072,641.0,360.0
1754818087006845696,640.0,361.0
1754818087023512320,640.0,360.0
1754818087040179200,640.0,358.0
1754818087056845824,638.0,362.0
1754818087073512448,639.0,360.0
1754818087090179072,639.0,358.0
1754818087106845696,642.0,360.0
1754818087123512320,637.0,360.0
1754818087140178944,637.0,359.0
1754818087156845824,637.0,357.0
1754818087173512448,639.0,357.0
1754818087190179072,641.0,362.0
1754818087206845696,639.0,361.0
1754818087223512320,641.0,361.0
1754818087240179200,641.0,357.0
1754818087256845824,642.0,360.0
1754818087273512448,638.0,358.0
1754818087290179072,640.0,361.0
1754818087306845696,638.0,362.0
1754818087323512320,637.0,357.0
1754818087340178944,637.0,360.0
1754818087356845824,639.0,362.0
1754818087373512448,637.0,362.0
1754818087390179072,637.0,359.0
1754818087406845696,641.0,361.0
1754818087423512320,639.0,361.0
1754818087440179200,638.0,358.0
1754818087456845824,639.0,358.0
1754818087473512448,640.0,359.0
1754818087490179072,640.0,362.0
1754818087506845696,641.0,362.0
1754818087523512320,640.0,360.0
1754818087540178944,641.0,357.0
1754818087556845824,642.0,359.0
1754818087573512448,638.0,358.0
1754818087590179072,637.0,358.0
1754818087606845696,640.0,361.0
1754818087623512320,638.0,362.0
1754818087640179200,641.0,360.0
1754818087656845824,637.0,361.0
1754818087673512448,637.0,362.0
1754818087690179072,642.0,362.0
1754818087706845696,642.0,360.0
1754818087723512320,637.0,357.0
1754818087740178944,641.0,361.0
1754818087756845824,641.0,360.0
1754818087773512448,641.0,357.0
1754818087790179072,641.0,359.0
1754818087806845696,642.0,358.0
1754818087823512320,637.0,360.0
1754818087840179200,638.0,360.0
1754818087856845824,638.0,357.0
1754818087873512448,637.0,357.0
1754818087890179072,637.0,359.0
1754818087906845696,639.0,362.0
1754818087923512320,638.0,361.0
1754818087940178944,637.0,358.0
1754818087956845824,640.0,359.0
1754818087973512448,640.0,362.0
1754818087990179072,642.0,361.0
1754818088006845696,642.0,360.0
1754818088023512320,683.0,339.0
1754818088040179200,840.0,267.0
1754818088056845824,740.0,313.0
1754818088073512448,882.0,247.0
1754818088090179072,902.0,238.0
1754818088106845696,943.0,219.0
1754818088123512320,931.0,225.0
1754818088140178944,,
1754818088156845824,,
